"","date","crimes","arson","assault","damage","disorder","dui","drug","larceny","vehi_theft","family","away_team","home_team","day_night","completed","pitch","attendance","game_time","name","city","state","Game","Date","Opponent","Score","Decision","Record","X","X.1","X.2","X.3","X.4","X.5"
"179",2018-06-28,595,0,153,60,4,0,0,176,11,3,"CHN","LAN","D",NA,"LOS03",52187,183,"Dodger Stadium","Los Angeles","CA","80","06-28-2018","vs Chicago Cubs","5-11","L","43-37",NA,NA,NA,NA,NA,NA
"180",2018-06-29,628,0,152,50,4,0,0,182,5,4,"COL","LAN","N",NA,"LOS03",41909,159,"Dodger Stadium","Los Angeles","CA","81","06-29-2018","vs Colorado Rockies","1-3","L","43-38",NA,NA,NA,NA,NA,NA
"181",2018-06-30,637,1,164,60,1,0,0,193,10,1,"COL","LAN","D",NA,"LOS03",46172,159,"Dodger Stadium","Los Angeles","CA","82","06-30-2018","vs Colorado Rockies","1-3","L","43-39",NA,NA,NA,NA,NA,NA
"182",2018-07-01,724,1,195,57,3,0,0,193,9,19,"COL","LAN","D",NA,"LOS03",45725,180,"Dodger Stadium","Los Angeles","CA","83","07-01-2018","vs Colorado Rockies","6-4","W","44-39",NA,NA,NA,NA,NA,NA
"183",2018-07-02,645,1,164,61,6,0,0,175,12,3,"PIT","LAN","N",NA,"LOS03",45207,200,"Dodger Stadium","Los Angeles","CA","84","07-02-2018","vs Pittsburgh Pirates","17-1","W","45-39",NA,NA,NA,NA,NA,NA
"184",2018-07-03,633,0,164,68,2,0,0,158,12,1,"PIT","LAN","N",NA,"LOS03",48819,177,"Dodger Stadium","Los Angeles","CA","85","07-03-2018","vs Pittsburgh Pirates","8-3","W","46-39",NA,NA,NA,NA,NA,NA
"185",2018-07-04,624,0,202,80,7,0,0,158,8,5,"PIT","LAN","N",NA,"LOS03",53139,203,"Dodger Stadium","Los Angeles","CA","86","07-04-2018","vs Pittsburgh Pirates","6-4","W","47-39",NA,NA,NA,NA,NA,NA
"186",2018-07-05,606,2,155,64,5,0,0,165,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",2018-07-06,651,3,171,59,3,0,0,208,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",2018-07-07,629,1,199,53,0,0,0,194,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
